,first_name,last_name,gender,prev_donor,occupation,ages,salary
330,Kurtis,Matchett,1,1,Accountant,77,69043
331,Saxe,McKeighen,1,0,Occupational Therapist,66,80516
332,Cory,Matuskiewicz,1,1,Cashier,27,18742
333,Mab,de Clercq,0,1,Farmer,74,65687
334,Nero,Lattimer,1,1,Product Manager,22,120683
335,Felipe,Itshak,1,0,Geologist,43,87457
336,Inna,Leyninye,0,1,Cashier,76,19659
337,Roxanna,Turnock,0,0,Dentist,61,160268
338,Heindrick,Sterte,1,0,Orthodontist,84,196878
339,Haywood,Mincher,1,1,Pharmacist,24,116360
340,Brook,Dewar,0,1,Orthodontist,40,203843
341,Lilia,Stockman,0,1,Occupational Therapist,68,77520
342,Ida,Hymas,0,0,Physican Assistant,48,101684
343,Port,Wasylkiewicz,1,1,Professor,51,73725
344,Nanon,Load,0,0,Farmer,23,63832
345,Jasun,Coxon,1,0,Social Worker,46,46126
346,Lauren,Lawlance,0,1,Soldier,77,33524
347,Wadsworth,Freschini,1,1,Physican,84,188811
348,Pattie,Sproston,0,0,Lawyer,34,119270
349,Kenon,Dreye,1,0,Physical Therapist,54,83927
350,Cristi,Rodolico,0,1,Security Guard,55,25077
351,Kaia,Bingell,0,0,Risk Manager,78,125312
352,Tarra,Baskeyfied,0,1,Politician,37,168155
353,Nathalia,Bourne,0,1,Actor,44,51356
354,Gradeigh,Whitmore,1,1,Music Artist,78,33180
355,Gweneth,Dello,0,0,Driver,27,42900
356,Xylina,Byk,0,1,Pilot,83,101688
357,Warde,Manssuer,1,0,Orthodontist,23,202183
358,Preston,Elgy,1,1,Doctor,37,194924
359,Fidelia,Enbury,0,0,Civil Engineer,26,81365
360,Brande,Lyal,0,1,Chemical Engineer,53,97415
361,Flemming,Eustace,1,1,Risk Manager,46,125442
362,Addi,Lovart,0,0,Politician,66,173544
363,Ellene,Tubbs,0,0,Politician,24,170372
364,Clayton,Slowey,1,0,Cashier,54,18992
365,Jocko,Winthrop,1,1,Marketing Manager,30,124046
366,Lisabeth,Hallihan,0,0,Risk Manager,78,124000
367,Kare,Baptiste,0,1,Pharmacist,29,112577
368,Euphemia,Travers,0,0,Recruiter,39,63640
369,Xymenes,Caramuscia,1,1,Tax Manager,40,117236
370,Bertie,Morffew,0,1,Psychologist,56,73253
371,Annmaria,Brassington,0,0,Pharmacist,36,111398
372,Cherish,Hugin,0,1,Electrical Engineer,40,94120
373,Sherm,Fearnside,1,0,Cashier,54,19216
374,Osborn,Hardcastle,1,0,Chef,70,42512
375,Gard,McNeillie,1,0,Software Developer,73,81757
376,Galvin,Viner,1,1,Software Developer,54,78225
377,Forrest,Ratcliffe,1,1,Electrical Engineer,62,95198
378,Eddie,Decayette,0,1,Politician,56,180586
379,Ted,Pharo,1,1,Psychologist,27,72855
380,Peggie,Rampling,0,1,Geologist,32,90365
381,Reid,Moorman,1,0,Geologist,59,91202
382,Robin,Simunek,0,0,Professor,71,72086
383,Vittorio,Clinning,1,1,Dentist,23,160448
384,Woodman,Stitwell,1,0,Product Manager,81,119806
385,Cathi,Yuryatin,0,1,Bartender,43,19700
386,Anstice,Bariball,0,0,Tax Manager,71,120957
387,Ailis,Giabuzzi,0,0,Police Officer,44,59869
388,Darelle,Crebbin,0,0,Writer,33,58538
389,Gaby,Hartnell,0,1,Software Developer,80,76997
390,Kahlil,Moyer,1,0,Accountant,84,64691
391,Bryce,Hayne,1,0,Mechanical Engineer,58,80222
392,Arleyne,Deans,0,1,Civil Engineer,70,82111
393,Fey,Barajaz,0,0,Security Guard,49,24302
394,Brigitta,Jandac,0,1,Farmer,56,63457
395,Darsie,Mullett,0,1,Accountant,37,67340
396,Alta,Quaif,0,1,Professor,58,72426
397,Kelsy,Comerford,0,0,Dentist,69,157538
398,Nonnah,Eadie,0,0,Psychologist,79,73260
399,Farrell,Wipper,1,1,Teacher,55,59098
400,Carlotta,Deaves,0,1,Actor,34,49899
401,Kittie,Playdon,0,1,Occupational Therapist,28,78845
402,Vance,Cheater,1,1,Security Guard,29,24035
403,Augustine,Tolhurst,0,1,Chemical Engineer,37,101553
404,Misti,Wardrop,0,0,Surgeon,62,188280
405,Yorke,Sach,1,0,Tax Manager,61,123880
406,Ethelbert,Milson,1,0,Teacher,46,58390
407,Zorana,Joberne,0,1,Dentist,50,163155
408,Devlen,Veart,1,0,Professor,24,73793
409,Trescha,Haddock,0,1,Civil Engineer,78,83814
410,Ethelind,Bulfit,0,0,Dentist,29,153929
411,Trude,Lupton,0,1,Chef,73,42013
412,Monika,Alleyne,0,0,Physican Assistant,57,100679
413,Mindy,Measor,0,0,Finance Manager,37,127642
414,Gaylor,Brick,1,1,Chemical Engineer,46,98413
415,Cristiano,Ismead,1,0,Secretary,57,35243
416,Carolus,Figgures,1,1,Physical Therapist,70,81794
417,Carmencita,Hadwin,0,0,Security Guard,84,24045
418,Seymour,Keyes,1,1,Mechanical Engineer,84,83344
419,Kimbell,Wallworth,1,0,Music Artist,78,31698
420,Lorin,Laweles,1,1,Security Guard,31,24501
421,Gene,Smoughton,0,0,Web Developer,21,66664
422,Lorine,Jaggers,0,0,Physican Assistant,43,96815
423,Annmarie,Willox,0,0,Physican,22,191231
424,Hogan,Menci,1,0,Marketing Manager,61,122763
425,Paule,Ithell,0,0,Bartender,30,19349
426,Valera,Liddell,0,1,Chemical Engineer,26,96064
427,Wallie,Bowhay,0,0,Electrical Engineer,25,95730
428,Steven,Paz,1,1,Police Officer,34,59522
429,Wainwright,Nore,1,1,Nurse,28,66641
430,Jaquith,Bescoby,0,1,Doctor,48,189912
431,Renee,Isack,0,1,Civil Engineer,44,86310
432,Pinchas,Brandassi,1,1,Police Officer,24,60847
433,Oates,Penning,1,0,Farmer,68,65132
434,Burl,Antonelli,1,1,Actor,61,52572
435,Leland,Perring,1,0,Orthodontist,33,210185
436,Doti,Gidman,0,1,Paramedic,23,31779
437,Luke,Lumsdale,1,1,Psychologist,28,73692
438,Gerome,Rankmore,1,0,Lawyer,51,116491
439,Roxanne,Temlett,0,1,Software Developer,27,76337
440,Audry,Strute,0,0,Social Worker,29,45474
441,Kelci,Cordery,0,1,Civil Engineer,43,83662
442,Kirk,Endle,1,1,Web Developer,78,65834
443,Dov,Tompion,1,1,Politician,31,171685
444,Percival,Demoge,1,0,Social Worker,44,46085
445,Francklyn,Ockenden,1,1,Orthodontist,35,209317
446,Rosemaria,Gaffey,0,0,Flight Attendant,59,44181
447,Hiram,Turn,1,0,Secretary,64,36055
448,Tedra,Mosdell,0,0,Social Worker,24,46824
449,Luelle,Willcocks,0,1,Driver,40,41882
450,Dougy,Andrassy,1,0,Economist,22,95632
451,Janice,De L'Isle,0,0,Bartender,47,19629
452,Modestia,Yurinov,0,0,Physican Assistant,49,97257
453,Vilhelmina,Wyburn,0,0,Farmer,72,64494
454,Jens,Mateja,1,0,Finance Manager,32,123897
455,Saidee,Sparks,0,1,Electrical Engineer,63,100128
456,Dolli,Lober,0,0,Recruiter,80,60924
457,Neils,Gatus,1,0,Security Guard,66,25132
458,Hamlin,McKeveney,1,0,Doctor,41,187225
459,Ina,Whiff,0,1,Politician,59,171922
460,Kristina,Rannie,0,1,Police Officer,73,60594
461,Filmer,Kesey,1,1,Paramedic,57,31473
462,Filippo,Tarbox,1,1,Data Scientist,80,110894
463,Robin,Darlington,0,1,Bartender,81,19436
464,Verney,Bastide,1,0,Police Officer,70,61376
465,Lyndsay,Laboune,0,1,Writer,66,61734
466,Giulia,Scoyne,0,1,Professor,21,74293
467,Woody,Mitie,1,0,Psychologist,24,73506
468,Florie,Shakesbye,0,1,Mechanical Engineer,68,85411
469,Gwyn,Priddy,0,0,Web Developer,55,64423
470,Harp,Hopewell,1,0,Psychologist,82,74648
471,Kissie,Gherardesci,0,1,Recruiter,52,63136
472,Eva,Auchterlony,0,0,Physican,55,189476
473,Marietta,Garza,0,1,Writer,78,58914
474,Cate,Miguet,0,1,Risk Manager,54,125758
475,Mylo,Rubertelli,1,0,Teacher,64,60125
476,Ardyth,McAuliffe,0,0,Web Developer,61,63211
477,Norrie,Videler,1,1,Bartender,58,19441
478,Trudie,Polding,0,1,Surgeon,72,188981
479,Nara,Book,0,1,Police Officer,36,60614
480,Hildegarde,Knifton,0,1,Risk Manager,22,122148
481,Padraic,Riddich,1,1,Geologist,53,88041
482,Constanta,Hansom,0,0,Product Manager,70,124173
483,Ulick,Henric,1,0,Recruiter,50,62542
484,Sabine,Haire,0,0,Cashier,75,19109
485,Bonni,Ussher,0,1,Finance Manager,52,124987
486,Sayer,Jzhakov,1,0,Civil Engineer,31,81429
487,Briant,Wynrahame,1,0,Doctor,65,185666
488,Georas,Stote,1,1,Chef,80,42285
489,Andee,Snead,0,0,Physican Assistant,32,96263
490,Kaja,Hucknall,0,1,Accountant,69,66275
491,Lamont,Middell,1,0,Security Guard,66,24012
492,Malachi,Rumin,1,0,Surgeon,62,185744
493,Alexina,Goddman,0,0,Occupational Therapist,79,80958
494,Marketa,Cheine,0,1,Finance Manager,70,123340
495,Urbanus,Suthren,1,0,Civil Engineer,69,83609
496,Ron,Coleyshaw,1,1,Geologist,81,86198
497,Margarette,Gibbett,0,0,Occupational Therapist,46,80529
498,Valaree,Foley,0,1,Risk Manager,29,127433
499,Elijah,Gobell,1,0,Surgeon,77,187524
500,Mylo,Bidewel,1,1,Geologist,73,91188
501,Budd,Mummery,1,0,Chemical Engineer,22,98641
502,Thatch,Nehl,1,0,Chemical Engineer,27,98962
503,Shela,Dimmne,0,1,Electrical Engineer,42,97247
504,Eddie,Sylvester,1,0,Tax Manager,65,115323
505,Yuma,Harry,1,0,Dentist,21,153391
506,Joellen,Henker,0,1,Chef,55,40873
507,Lewes,Gretton,1,0,Social Worker,24,46484
508,Kyle,Estoile,1,0,Dentist,25,160489
509,Rollie,Pree,1,0,Social Worker,58,44553
