first_name,last_name,gender,prev_donor,occupation,ages,salary,donated
Roderich,Marwick,1,1,Actor,24,52000,0
Joann,Milazzo,0,1,Risk Manager,66,125688,1
Christiana,Pickersail,0,0,Security Guard,38,24680,1
Valene,Taleworth,0,1,Farmer,70,64170,0
Feliza,Sampey,0,1,Occupational Therapist,30,80150,0
Devon,Corrigan,0,0,Chemical Engineer,53,97360,1
Robb,Buxcey,1,1,Dentist,61,158310,0
Perry,Umpleby,0,0,Pilot,79,102250,1
Harrison,Spadelli,1,1,Politician,31,174000,1
Tricia,Matantsev,0,0,Politician,77,174000,1
Jobyna,Adanet,0,0,Professor,27,72470,0
Sheilah,Smitherham,0,1,Marketing Manager,78,124850,1
Kellina,Anthon,0,0,Professor,32,72470,1
Shell,Kingsly,1,1,Marketing Manager,56,124850,1
Leonelle,Peverell,0,0,Geologist,34,89700,1
Shanda,Gencke,0,1,Farmer,53,64170,1
Roshelle,Dunbobin,0,0,Sales Manager,79,113860,1
Twyla,Geeson,0,0,Teacher,24,58950,0
Hetti,Jansa,0,0,Surgeon,70,187500,1
Allene,Morpeth,0,1,Risk Manager,84,125688,1
Sebastien,Padly,1,1,Secretary,59,36500,0
Theodoric,Burch,1,1,Soldier,35,33624,0
Thoma,Ploughwright,1,0,Electrical Engineer,59,95230,1
Wynn,Whyborn,0,1,Data Scientist,57,113436,0
Elmira,Asser,0,1,Economist,28,99180,0
Caroline,Bursell,0,0,Actor,60,52000,1
Brandy,Reany,1,1,Risk Manager,40,125688,1
Theda,Thaim,0,1,Professor,63,72470,1
Dur,Sewards,1,1,Orthodontist,79,208000,1
Baryram,Wilkie,1,0,Secretary,68,36500,1
Caprice,Furniss,0,1,Chef,61,41500,1
Westbrook,Gautrey,1,1,Social Worker,44,45900,0
Dante,Cloughton,1,1,Secretary,46,36500,1
Goldi,Poetz,0,0,Web Developer,62,64970,1
Nydia,Wisam,0,0,Recruiter,77,61910,0
Winna,Cutts,0,0,Chef,54,41500,1
Jacquenette,Dillet,0,0,Social Worker,25,45900,0
Natty,Splevin,1,0,Dentist,29,158310,0
Magdalena,Breach,0,1,Orthodontist,36,208000,1
Herb,Normavill,1,1,Social Worker,53,45900,1
Jordana,McFadin,0,1,Recruiter,72,61910,0
Emmit,Liebrecht,1,1,Teacher,34,58950,1
Sheryl,Sergison,0,0,Sales Manager,67,113860,1
Bastien,Lieb,1,1,Sales Manager,85,113860,0
Gerard,Lief,1,1,Psychologist,81,72580,0
Waylan,Swadlin,1,1,Lawyer,80,115820,0
Sibbie,Splevings,0,0,Accountant,72,67190,1
Saraann,Creedland,0,0,Driver,57,41260,1
Pat,Carstairs,0,1,Writer,74,60250,1
Christa,Spours,0,0,Police Officer,58,60270,1
Marys,Grimditch,0,1,Driver,38,41260,1
Janeczka,McKimmie,0,0,Data Scientist,65,113436,0
Katina,Birnie,0,0,Teacher,35,58950,1
Freemon,Jenk,1,1,Lawyer,36,115820,1
Godwin,Broun,1,0,Bartender,35,19530,1
Yolane,Cutsforth,0,0,Finance Manager,25,125080,0
Renaldo,Beale,1,0,Orthodontist,81,208000,0
Isidora,Beaver,0,0,Web Developer,52,64970,0
Tandie,Bullingham,0,0,Chemical Engineer,52,97360,1
Concordia,Stocker,0,0,Professor,21,72470,0
Bary,Brandreth,1,0,Electrical Engineer,52,95230,1
Grenville,Hallowes,1,1,Pilot,73,102250,1
Hewitt,Wix,1,1,Chef,27,41500,0
Jarvis,Woodlands,1,0,Web Developer,72,64970,1
Eolanda,Triebner,0,0,Sales Manager,67,113860,0
Jody,Pengilley,1,1,Bartender,65,19530,1
Barnett,Whitemarsh,1,0,Secretary,38,36500,1
Maximilian,Birchill,1,0,Finance Manager,38,125080,1
Marshall,Skures,1,0,Chef,32,41500,0
Thatch,Fowlston,1,1,Social Worker,79,45900,1
Leela,Lages,0,0,Sales Manager,28,113860,0
Kristen,Wickenden,0,1,Chef,57,41500,0
Walt,Pfeffle,1,1,Writer,39,60250,1
Nealson,Lidgerton,1,0,Pilot,34,102250,1
Adrienne,Karlik,0,0,Geologist,36,89700,0
Rani,Baxandall,0,0,Driver,74,41260,1
Elia,Billyeald,1,0,Risk Manager,50,125688,1
Charlena,Overland,0,0,Mechanical Engineer,62,83590,1
Raynell,McWhannel,0,1,Bartender,72,19530,1
Nadia,Holstein,0,1,Product Manager,75,120152,0
Odo,Smee,1,1,Politician,63,174000,1
Jobey,Padden,0,1,Sales Manager,73,113860,1
Alix,Mathissen,1,1,Police Officer,63,60270,1
Florian,Hammarberg,1,0,Marketing Manager,80,124850,1
Nerty,Cathenod,0,0,Economist,52,99180,0
Brigitte,Danbye,0,1,Nurse,75,67490,0
Lizbeth,Logg,0,0,Cashier,44,19310,1
Federica,Jendrach,0,0,Risk Manager,34,125688,1
Lolly,Whardley,0,1,Mechanical Engineer,56,83590,1
Alberto,Blenkinsop,1,0,Professor,84,72470,1
Ethelred,Matuszak,1,0,Physical Therapist,70,84020,1
Hunfredo,Bakeup,1,1,Actor,70,52000,0
Stanleigh,MacGall,1,1,Security Guard,27,24680,0
Carmine,Brocklebank,0,1,Driver,34,41260,1
Hayward,Ranstead,1,1,Data Scientist,82,113436,1
Viviyan,Shallcross,0,0,Lawyer,71,115820,1
Ashley,Syson,1,0,Recruiter,63,61910,1
Rozelle,Wanjek,0,1,Actor,53,52000,1
Arvin,But,1,1,Bartender,83,19530,1
Aurilia,Dibbs,0,1,Driver,29,41260,0
Robbie,Sigge,1,0,Nurse,37,67490,1
Flori,Benedite,0,1,Occupational Therapist,78,80150,0
Duff,Gebbie,1,1,Physican,84,187200,0
Irwin,Treadway,1,1,Doctor,39,187200,1
Herman,Whyley,1,1,Electrical Engineer,46,95230,1
Rod,Binner,1,0,Risk Manager,68,125688,1
Kerwin,Kealy,1,0,Actor,74,52000,0
Larry,Kirvell,1,1,Actor,63,52000,1
Sigmund,Tallant,1,1,Web Developer,22,64970,0
Tristan,Stoak,1,1,Chemical Engineer,77,97360,1
Letty,Barradell,0,0,Paramedic,53,31980,1
Wendye,Baden,0,1,Economist,74,99180,1
Helen,Arunowicz,0,1,Politician,50,174000,1
Nikkie,Lovell,0,1,Surgeon,80,187500,1
Kev,Sempill,1,0,Electrical Engineer,70,95230,0
Ursulina,Wulfinger,0,0,Bartender,68,19530,1
Linell,Bowring,0,1,Police Officer,41,60270,0
Cammy,Dearl,1,1,Product Manager,80,120152,1
Tamarra,Kees,0,0,Writer,57,60250,1
Keir,Tomkins,1,0,Police Officer,68,60270,1
Hercule,O' Cuolahan,1,1,Accountant,35,67190,1
Lancelot,Mc Pake,1,0,Web Developer,63,64970,1
Franciska,Gocke,0,0,Writer,69,60250,1
Fiorenze,Raisbeck,0,0,Mechanical Engineer,45,83590,1
Gwen,Scrowston,0,1,Flight Attendant,29,44860,0
Seamus,Way,1,0,Occupational Therapist,59,80150,0
Frederico,Manoch,1,1,Software Developer,60,79530,0
Othelia,Vokes,0,0,Orthodontist,38,208000,1
Saunder,Goodwyn,1,0,Civil Engineer,57,82220,0
Sigismond,Coules,1,0,Bartender,26,19530,0
Sayre,Kemball,0,1,Risk Manager,52,125688,1
Rita,Warboy,0,0,Police Officer,46,60270,1
Del,Burds,1,0,Farmer,64,64170,1
Stillmann,Gosswell,1,1,Electrical Engineer,62,95230,0
Lemuel,Jennick,1,1,Bartender,80,19530,1
Gilemette,Rau,0,0,Mechanical Engineer,61,83590,1
Laryssa,Lambshine,0,1,Music Artist,54,32193,1
Allen,Haines,1,0,Driver,39,41260,0
Talia,Yearne,0,1,Accountant,78,67190,1
Jorge,Fedorchenko,1,0,Teacher,32,58950,0
Jen,Domaschke,0,0,Secretary,76,36500,1
Dulcie,Povey,0,0,Nurse,54,67490,1
Maximilien,Piniur,1,1,Risk Manager,54,125688,0
Patience,Martinelli,0,0,Dentist,81,158310,1
Hayden,Leteurtre,1,0,Professor,32,72470,0
Gussy,McEnery,0,0,Physican,60,187200,1
Yulma,Parkes,1,0,Actor,23,52000,0
Tillie,Filshin,0,1,Marketing Manager,24,124850,0
Sigfried,Vaszoly,1,1,Psychologist,37,72580,1
Barnett,Postins,1,1,Sales Manager,37,113860,0
Reilly,Legrice,1,0,Pilot,48,102250,1
Quintus,Arrowsmith,1,1,Secretary,54,36500,1
Golda,Kleeborn,0,1,Web Developer,57,64970,1
Rocky,Francey,1,1,Teacher,70,58950,1
Fredra,Mantram,0,0,Finance Manager,41,125080,1
Gregoor,Pedroni,1,1,Mechanical Engineer,63,83590,1
Budd,Huguenet,1,1,Actor,43,52000,1
Andonis,Tock,1,0,Economist,70,99180,1
Buck,Golder,1,0,Cashier,50,19310,0
Nero,Larwell,1,0,Professor,23,72470,0
Kerr,Cousens,1,1,Mechanical Engineer,31,83590,1
Broddy,Casement,1,1,Music Artist,58,32193,1
Joy,St. Queintain,0,1,Pharmacist,41,115000,1
Eldin,Kiddle,1,0,Secretary,48,36500,1
Alonso,Dawtre,1,0,Software Developer,72,79530,1
Penelope,Burfoot,0,1,Pilot,23,102250,0
Liz,Whooley,0,1,Social Worker,26,45900,0
Leonard,Prestedge,1,0,Nurse,64,67490,1
Rowen,Awin,1,1,Surgeon,40,187500,1
Hildegarde,Lonsdale,0,1,Bartender,56,19530,1
Wendie,Isselee,0,1,Farmer,47,64170,1
Nickie,Gogan,1,1,Economist,29,99180,0
Cara,Swindon,0,0,Civil Engineer,35,82220,1
Lindi,Primmer,0,0,Driver,51,41260,1
Roseline,Longhorn,0,0,Geologist,29,89700,0
Gwyneth,Eagers,0,0,Paramedic,32,31980,1
Gayla,Rops,0,1,Physican,52,187200,1
Henri,Teresi,1,1,Chemical Engineer,35,97360,0
Arden,Grummitt,0,1,Electrical Engineer,27,95230,0
Natalya,Dowsing,0,0,Chemical Engineer,81,97360,1
Alisa,Halsho,0,1,Teacher,39,58950,0
Kirby,Testro,0,1,Music Artist,62,32193,1
Gabrila,Sneezum,0,1,Doctor,31,187200,1
Netti,McAne,0,0,Chemical Engineer,65,97360,0
Dunc,Wickwar,1,0,Lawyer,72,115820,1
Fraze,Calterone,1,0,Chemical Engineer,50,97360,1
Peria,Reaper,0,0,Social Worker,34,45900,0
Fannie,Bremen,0,1,Nurse,30,67490,0
Wilma,Ivancevic,0,0,Nurse,76,67490,1
Stefanie,Aggiss,0,0,Mechanical Engineer,26,83590,0
Gawain,Massei,1,1,Orthodontist,80,208000,1
Camala,Langhor,0,1,Paramedic,21,31980,0
Bobbe,Hradsky,0,0,Professor,80,72470,1
Ardys,Elix,0,1,Psychologist,37,72580,1
De witt,Phonix,1,1,Web Developer,73,64970,1
Gerri,Fairall,0,0,Paramedic,26,31980,0
Georgena,Sibborn,0,1,Physican Assistant,39,98180,1
Serene,Pogson,0,0,Occupational Therapist,51,80150,0
Trudie,Roy,0,1,Pilot,70,102250,1
Constantina,Van Der Hoog,0,1,Sales Manager,36,113860,1
Salomon,Pietrusiak,1,0,Sales Manager,81,113860,1
Pennie,Leaton,1,0,Economist,41,99180,1
Rica,Bratt,0,0,Physical Therapist,70,84020,1
Montague,Avramovitz,1,0,Civil Engineer,47,82220,0
Ciro,By,1,0,Nurse,30,67490,0
Chicky,Shoulder,1,1,Actor,36,52000,0
Zachery,Vsanelli,1,1,Police Officer,25,60270,0
Elsie,Heaysman,0,0,Software Developer,39,79530,1
Judye,Joyce,0,0,Dentist,36,158310,1
Ralina,Curson,0,1,Sales Manager,61,113860,1
Alvis,Croom,1,0,Doctor,65,187200,1
Daron,Tetsall,0,0,Doctor,33,187200,1
Gerard,Sherred,1,0,Physican,51,187200,0
Rock,Ivimey,1,1,Music Artist,37,32193,0
Harv,Currin,1,0,Politician,35,174000,1
Klarrisa,Sargint,0,1,Risk Manager,80,125688,1
Mycah,Holligan,1,0,Chef,28,41500,0
Deeann,Adamik,0,0,Product Manager,67,120152,0
Ofilia,Tayler,0,0,Occupational Therapist,28,80150,0
Donetta,Weatherhill,0,0,Surgeon,21,187500,0
Rudy,Folini,1,1,Secretary,37,36500,1
Brandy,Macveigh,0,0,Orthodontist,84,208000,1
Chrysa,De Biasio,0,0,Pilot,72,102250,1
Tracy,Constable,0,1,Cashier,43,19310,0
Chen,Larkin,1,0,Actor,42,52000,1
Imojean,Pendergrast,0,0,Paramedic,54,31980,1
Bradly,Ehrat,1,1,Electrical Engineer,51,95230,1
Hildagarde,Gianettini,0,0,Flight Attendant,40,44860,1
Horatio,Frow,1,1,Chef,31,41500,1
Addy,Smith,1,0,Economist,79,99180,1
Vernen,Macieiczyk,1,1,Chemical Engineer,54,97360,0
Mackenzie,Schrinel,1,0,Nurse,24,67490,0
Vernice,Critchley,0,1,Professor,37,72470,1
Blair,Kennham,1,1,Paramedic,25,31980,0
Sherwood,Howle,1,0,Soldier,69,33624,0
Carlina,Roe,0,1,Accountant,46,67190,1
Maribelle,Maffini,0,1,Mechanical Engineer,47,83590,1
Horst,Mallabund,1,1,Surgeon,28,187500,0
Paton,Kinforth,1,0,Pharmacist,27,115000,0
Nikolaos,Bevis,1,1,Paramedic,55,31980,1
Jerry,Dodds,0,1,Civil Engineer,58,82220,1
Gretchen,de Marco,0,1,Accountant,26,67190,0
Michal,Gricks,0,1,Orthodontist,84,208000,1
Royall,Moroney,1,1,Recruiter,61,61910,1
Lauri,Blennerhassett,0,0,Software Developer,76,79530,1
Ulric,Perutto,1,0,Politician,52,174000,1
Homere,Evins,1,1,Lawyer,23,115820,0
Jacquetta,Ovanesian,0,0,Mechanical Engineer,69,83590,1
Luella,Dimmne,0,1,Cashier,85,19310,1
Fairfax,Dulake,1,0,Physican,33,187200,1
Brande,Burnsyde,0,1,Marketing Manager,83,124850,0
Gerick,Coucha,1,1,Product Manager,71,120152,1
Hanan,Bortoli,1,1,Pilot,63,102250,0
Hortense,Bray,0,1,Product Manager,33,120152,1
Noemi,Whetson,0,0,Lawyer,80,115820,1
Goran,Dutteridge,1,0,Recruiter,24,61910,0
Filia,Monteith,0,0,Risk Manager,67,125688,1
Olenolin,Ferrarello,1,1,Bartender,23,19530,0
Haven,Gellan,1,1,Nurse,36,67490,1
Cullie,Ourry,1,1,Software Developer,50,79530,1
Sandie,Wiz,0,1,Music Artist,62,32193,0
Rosanne,Cowherd,0,0,Mechanical Engineer,60,83590,1
Sigvard,Lyness,1,0,Surgeon,52,187500,1
Patric,Coping,1,1,Psychologist,67,72580,1
Kurtis,Matchett,1,1,Accountant,25,67190,0
Saxe,McKeighen,1,0,Occupational Therapist,30,80150,0
Cory,Matuskiewicz,1,1,Cashier,47,19310,1
Mab,de Clercq,0,1,Farmer,58,64170,1
Nero,Lattimer,1,1,Product Manager,69,120152,1
Felipe,Itshak,1,0,Geologist,70,89700,0
Inna,Leyninye,0,1,Cashier,72,19310,0
Roxanna,Turnock,0,0,Dentist,81,158310,1
Heindrick,Sterte,1,0,Orthodontist,40,208000,1
Haywood,Mincher,1,1,Pharmacist,74,115000,1
Brook,Dewar,0,1,Orthodontist,68,208000,1
Lilia,Stockman,0,1,Occupational Therapist,36,80150,1
Ida,Hymas,0,0,Physican Assistant,51,98180,0
Port,Wasylkiewicz,1,1,Professor,44,72470,1
Nanon,Load,0,0,Farmer,67,64170,1
Jasun,Coxon,1,0,Social Worker,32,45900,1
Lauren,Lawlance,0,1,Soldier,23,33624,0
Wadsworth,Freschini,1,1,Physican,22,187200,0
Pattie,Sproston,0,0,Lawyer,49,115820,1
Kenon,Dreye,1,0,Physical Therapist,77,84020,0
Cristi,Rodolico,0,1,Security Guard,56,24680,1
Kaia,Bingell,0,0,Risk Manager,57,125688,1
Tarra,Baskeyfied,0,1,Politician,78,174000,1
Nathalia,Bourne,0,1,Actor,81,52000,1
Gradeigh,Whitmore,1,1,Music Artist,35,32193,1
Gweneth,Dello,0,0,Driver,60,41260,1
Xylina,Byk,0,1,Pilot,30,102250,0
Warde,Manssuer,1,0,Orthodontist,54,208000,0
Preston,Elgy,1,1,Doctor,40,187200,1
Fidelia,Enbury,0,0,Civil Engineer,77,82220,1
Brande,Lyal,0,1,Chemical Engineer,44,97360,0
Flemming,Eustace,1,1,Risk Manager,23,125688,0
Addi,Lovart,0,0,Politician,29,174000,0
Ellene,Tubbs,0,0,Politician,65,174000,0
Clayton,Slowey,1,0,Cashier,75,19310,0
Jocko,Winthrop,1,1,Marketing Manager,62,124850,0
Lisabeth,Hallihan,0,0,Risk Manager,74,125688,1
Kare,Baptiste,0,1,Pharmacist,31,115000,1
Euphemia,Travers,0,0,Recruiter,67,61910,1
Xymenes,Caramuscia,1,1,Tax Manager,27,120397,0
Bertie,Morffew,0,1,Psychologist,35,72580,1
Annmaria,Brassington,0,0,Pharmacist,23,115000,0
Cherish,Hugin,0,1,Electrical Engineer,79,95230,1
Sherm,Fearnside,1,0,Cashier,67,19310,1
Osborn,Hardcastle,1,0,Chef,57,41500,1
Gard,McNeillie,1,0,Software Developer,46,79530,1
Galvin,Viner,1,1,Software Developer,68,79530,1
Forrest,Ratcliffe,1,1,Electrical Engineer,59,95230,1
Eddie,Decayette,0,1,Politician,71,174000,1
Ted,Pharo,1,1,Psychologist,29,72580,0
Peggie,Rampling,0,1,Geologist,40,89700,1
Reid,Moorman,1,0,Geologist,30,89700,0
Robin,Simunek,0,0,Professor,53,72470,1
Vittorio,Clinning,1,1,Dentist,41,158310,1
Woodman,Stitwell,1,0,Product Manager,26,120152,0
Cathi,Yuryatin,0,1,Bartender,82,19530,1
Anstice,Bariball,0,0,Tax Manager,82,120397,1
Ailis,Giabuzzi,0,0,Police Officer,28,60270,0
Darelle,Crebbin,0,0,Writer,85,60250,1
Gaby,Hartnell,0,1,Software Developer,41,79530,1
Kahlil,Moyer,1,0,Accountant,37,67190,1
Bryce,Hayne,1,0,Mechanical Engineer,72,83590,1
Arleyne,Deans,0,1,Civil Engineer,66,82220,1
Fey,Barajaz,0,0,Security Guard,26,24680,0
Brigitta,Jandac,0,1,Farmer,56,64170,0
Darsie,Mullett,0,1,Accountant,28,67190,0
Alta,Quaif,0,1,Professor,32,72470,1
Kelsy,Comerford,0,0,Dentist,31,158310,1
Nonnah,Eadie,0,0,Psychologist,28,72580,0
Farrell,Wipper,1,1,Teacher,34,58950,0
Carlotta,Deaves,0,1,Actor,80,52000,0
Kittie,Playdon,0,1,Occupational Therapist,21,80150,0
Vance,Cheater,1,1,Security Guard,34,24680,0
Augustine,Tolhurst,0,1,Chemical Engineer,28,97360,0
Misti,Wardrop,0,0,Surgeon,27,187500,0
Yorke,Sach,1,0,Tax Manager,47,120397,1
Ethelbert,Milson,1,0,Teacher,58,58950,1
Zorana,Joberne,0,1,Dentist,56,158310,1
Devlen,Veart,1,0,Professor,76,72470,1
Trescha,Haddock,0,1,Civil Engineer,21,82220,0
Ethelind,Bulfit,0,0,Dentist,60,158310,1
Trude,Lupton,0,1,Chef,58,41500,0
Monika,Alleyne,0,0,Physican Assistant,65,98180,0
Mindy,Measor,0,0,Finance Manager,56,125080,0
Gaylor,Brick,1,1,Chemical Engineer,38,97360,0
Cristiano,Ismead,1,0,Secretary,79,36500,1
Carolus,Figgures,1,1,Physical Therapist,34,84020,1
Carmencita,Hadwin,0,0,Security Guard,72,24680,1
Seymour,Keyes,1,1,Mechanical Engineer,70,83590,1
Kimbell,Wallworth,1,0,Music Artist,81,32193,1
Lorin,Laweles,1,1,Security Guard,58,24680,1
Gene,Smoughton,0,0,Web Developer,84,64970,0
Lorine,Jaggers,0,0,Physican Assistant,45,98180,1
Annmarie,Willox,0,0,Physican,38,187200,1
Hogan,Menci,1,0,Marketing Manager,82,124850,1
Paule,Ithell,0,0,Bartender,78,19530,1
Valera,Liddell,0,1,Chemical Engineer,80,97360,1
Wallie,Bowhay,0,0,Electrical Engineer,76,95230,1
Steven,Paz,1,1,Police Officer,70,60270,1
Wainwright,Nore,1,1,Nurse,33,67490,0
Jaquith,Bescoby,0,1,Doctor,52,187200,0
Renee,Isack,0,1,Civil Engineer,61,82220,1
Pinchas,Brandassi,1,1,Police Officer,22,60270,0
Oates,Penning,1,0,Farmer,31,64170,1
Burl,Antonelli,1,1,Actor,74,52000,0
Leland,Perring,1,0,Orthodontist,64,208000,0
Doti,Gidman,0,1,Paramedic,38,31980,0
Luke,Lumsdale,1,1,Psychologist,59,72580,1
Gerome,Rankmore,1,0,Lawyer,36,115820,0
Roxanne,Temlett,0,1,Software Developer,73,79530,1
Audry,Strute,0,0,Social Worker,77,45900,1
Kelci,Cordery,0,1,Civil Engineer,52,82220,1
Kirk,Endle,1,1,Web Developer,34,64970,1
Dov,Tompion,1,1,Politician,45,174000,0
Percival,Demoge,1,0,Social Worker,33,45900,1
Francklyn,Ockenden,1,1,Orthodontist,36,208000,0
Rosemaria,Gaffey,0,0,Flight Attendant,75,44860,0
Hiram,Turn,1,0,Secretary,22,36500,0
Tedra,Mosdell,0,0,Social Worker,68,45900,0
Luelle,Willcocks,0,1,Driver,65,41260,1
Dougy,Andrassy,1,0,Economist,72,99180,1
Janice,De L'Isle,0,0,Bartender,64,19530,1
Modestia,Yurinov,0,0,Physican Assistant,81,98180,1
Vilhelmina,Wyburn,0,0,Farmer,66,64170,1
Jens,Mateja,1,0,Finance Manager,56,125080,1
Saidee,Sparks,0,1,Electrical Engineer,75,95230,1
Dolli,Lober,0,0,Recruiter,73,61910,0
Neils,Gatus,1,0,Security Guard,48,24680,1
Hamlin,McKeveney,1,0,Doctor,82,187200,1
Ina,Whiff,0,1,Politician,41,174000,1
Kristina,Rannie,0,1,Police Officer,71,60270,1
Filmer,Kesey,1,1,Paramedic,29,31980,0
Filippo,Tarbox,1,1,Data Scientist,46,113436,1
Robin,Darlington,0,1,Bartender,30,19530,0
Verney,Bastide,1,0,Police Officer,48,60270,1
Lyndsay,Laboune,0,1,Writer,82,60250,1
Giulia,Scoyne,0,1,Professor,46,72470,1
Woody,Mitie,1,0,Psychologist,83,72580,1
Florie,Shakesbye,0,1,Mechanical Engineer,82,83590,1
Gwyn,Priddy,0,0,Web Developer,25,64970,0
Harp,Hopewell,1,0,Psychologist,30,72580,0
Kissie,Gherardesci,0,1,Recruiter,30,61910,0
Eva,Auchterlony,0,0,Physican,61,187200,1
Marietta,Garza,0,1,Writer,50,60250,1
Cate,Miguet,0,1,Risk Manager,53,125688,1
Mylo,Rubertelli,1,0,Teacher,73,58950,1
Ardyth,McAuliffe,0,0,Web Developer,32,64970,1
Norrie,Videler,1,1,Bartender,68,19530,1
Trudie,Polding,0,1,Surgeon,55,187500,0
Nara,Book,0,1,Police Officer,59,60270,1
Hildegarde,Knifton,0,1,Risk Manager,69,125688,0
Padraic,Riddich,1,1,Geologist,60,89700,1
Constanta,Hansom,0,0,Product Manager,77,120152,1
Ulick,Henric,1,0,Recruiter,47,61910,1
Sabine,Haire,0,0,Cashier,30,19310,0
Bonni,Ussher,0,1,Finance Manager,61,125080,1
Sayer,Jzhakov,1,0,Civil Engineer,31,82220,0
Briant,Wynrahame,1,0,Doctor,77,187200,0
Georas,Stote,1,1,Chef,52,41500,1
Andee,Snead,0,0,Physican Assistant,43,98180,1
Kaja,Hucknall,0,1,Accountant,37,67190,1
Lamont,Middell,1,0,Security Guard,60,24680,1
Malachi,Rumin,1,0,Surgeon,79,187500,1
Alexina,Goddman,0,0,Occupational Therapist,41,80150,1
Marketa,Cheine,0,1,Finance Manager,26,125080,0
Urbanus,Suthren,1,0,Civil Engineer,55,82220,1
Ron,Coleyshaw,1,1,Geologist,45,89700,0
Margarette,Gibbett,0,0,Occupational Therapist,26,80150,0
Valaree,Foley,0,1,Risk Manager,42,125688,0
Elijah,Gobell,1,0,Surgeon,27,187500,0
Mylo,Bidewel,1,1,Geologist,40,89700,1
Budd,Mummery,1,0,Chemical Engineer,78,97360,1
Thatch,Nehl,1,0,Chemical Engineer,55,97360,1
Shela,Dimmne,0,1,Electrical Engineer,76,95230,1
Eddie,Sylvester,1,0,Tax Manager,35,120397,0
Yuma,Harry,1,0,Dentist,44,158310,1
Joellen,Henker,0,1,Chef,70,41500,1
Lewes,Gretton,1,0,Social Worker,37,45900,1
Kyle,Estoile,1,0,Dentist,84,158310,1
Rollie,Pree,1,0,Social Worker,22,45900,0
Gilles,Fendt,1,0,Politician,38,174000,1
Carlina,Silley,0,0,Flight Attendant,48,44860,1
