first_name,last_name,gender,prev_donor,occupation,ages,salary,donated,prediction
Norrie,Kynastone,0,1,Economist,75,99180,1,0.81
Ruddy,Shirtcliffe,1,1,Soldier,77,33624,1,0.78
Maible,Semmens,0,1,Web Developer,69,64970,1,0.72
Welsh,Gaitone,1,0,Writer,45,60250,1,0.77
Leola,Mallebone,0,0,Police Officer,31,60270,0,0.84
Perrine,Ralton,0,1,Recruiter,66,61910,1,0.69
Thornie,Hillett,1,1,Occupational Therapist,35,80150,0,0.72
Stefania,Unsworth,0,0,Product Manager,46,120152,0,0.87
Sheri,Ishak,0,1,Music Artist,44,32193,0,0.75
Darrell,Broadbent,1,0,Software Developer,24,79530,0,0.0
Roi,Boatswain,1,0,Lawyer,57,115820,1,0.72
Aurie,Wrefford,0,0,Physican Assistant,85,98180,1,0.81
Verena,Gill,0,1,Occupational Therapist,25,80150,0,0.0
Torrey,Kaysor,1,1,Physican,43,187200,1,0.82
Rice,Noli,1,0,Sales Manager,44,113860,1,0.79
Mortie,Rooson,1,0,Bartender,35,19530,1,0.8
Kendra,Fury,0,0,Tax Manager,63,120397,0,0.65
Bianca,Simonds,0,1,Physican Assistant,68,98180,1,0.76
Dora,Ponsford,0,0,Social Worker,76,45900,1,0.68
Karim,Hubane,1,1,Music Artist,57,32193,1,0.72
Nikolaus,De Souza,1,1,Pharmacist,47,115000,1,0.83
Aguste,Whacket,1,0,Civil Engineer,42,82220,0,0.73
Vernice,Vaggers,0,1,Driver,55,41260,0,0.8
Gaston,Arnout,1,0,Civil Engineer,57,82220,0,0.66
Danica,Keen,0,0,Product Manager,69,120152,0,0.75
Cody,Theriot,1,0,Nurse,43,67490,1,0.78
Mark,Crummie,1,0,Economist,35,99180,1,0.69
Nicky,Schulter,1,1,Politician,57,174000,0,0.7
Krisha,Dubois,1,0,Finance Manager,42,125080,1,0.82
Duffie,Dunabie,1,1,Product Manager,66,120152,1,0.82
Eba,Bertl,0,0,Web Developer,54,64970,0,0.79
Sylvia,Punshon,0,0,Occupational Therapist,32,80150,1,0.85
Wesley,Hadlington,1,0,Recruiter,85,61910,0,0.81
Francklyn,Botte,1,1,Lawyer,78,115820,1,0.8
Raoul,Christofle,1,1,Psychologist,80,72580,1,0.78
Nicholas,Edsell,1,0,Physican Assistant,68,98180,1,0.75
Sarita,Boyes,0,0,Professor,64,72470,1,0.73
Lezley,Schulze,1,0,Sales Manager,74,113860,0,0.78
Kizzee,Beevors,0,1,Driver,27,41260,0,0.01
Julian,Willetts,1,1,Bartender,44,19530,0,0.73
Gerrard,Benda,1,1,Product Manager,24,120152,0,0.0
Jakie,Cuschieri,1,1,Pharmacist,49,115000,1,0.83
Alfy,Tavner,1,0,Electrical Engineer,66,95230,1,0.65
Adorne,Brandino,0,1,Mechanical Engineer,39,83590,1,0.82
Sonni,Gaffon,0,0,Doctor,77,187200,1,0.84
Eleanore,Fusco,0,0,Electrical Engineer,54,95230,1,0.82
